Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Year,MRP_Level,Item_Outlet_Sales,Item_Class
FDA,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,Medium,Tier 1,Supermarket Type1,14,Very_High,14.9519633384199,FD
DRC,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,Medium,Tier 3,Supermarket Type2,4,Low,9.18645430212226,DR
FDN,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,Medium,Tier 1,Supermarket Type1,14,High,14.809346269542,FD
FDX,19.2,Regular,0.065722924,Fruits and Vegetables,182.095,OUT010,Small,Tier 3,Grocery Store,15,High,4.02196655591861,FD
NCD,8.93,None,0.011278673,Household,53.8614,OUT013,High,Tier 3,Supermarket Type1,26,Low,18.4678675266517,NC
FDP,10.395,Regular,0.084879879,Baking Goods,51.4008,OUT018,Medium,Tier 3,Supermarket Type2,4,Low,10.8287964389659,FD
FDO,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,High,Tier 3,Supermarket Type1,26,Low,5.95837582467897,FD
FDP,19,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,Medium,Tier 3,Supermarket Type3,28,Medium,37.3300062545122,FD
FDH,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,11.1020906936599,FD
FDU,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,Small,Tier 2,Supermarket Type1,6,High,25.0798631039913,FD
FDY,11.8,Low Fat,0.12470444,Fruits and Vegetables,45.5402,OUT049,Medium,Tier 1,Supermarket Type1,14,Low,33.2898537995002,FD
FDA,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,Small,Tier 1,Supermarket Type1,16,High,15.1769479190231,FD
FDX,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,Medium,Tier 1,Supermarket Type1,14,High,10.9243875044165,FD
FDS,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,17.9247983341995,FD
FDF,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,High,Tier 3,Supermarket Type1,26,High,10.0661770919342,FD
FDP,9,Regular,0.069088961,Breakfast,56.3614,OUT046,Small,Tier 1,Supermarket Type1,16,Low,27.4535267044467,FD
NCB,11.8,None,0.008596051,Health and Hygiene,115.3492,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,14.0606852930059,NC
FDP,9,Regular,0.069196376,Breakfast,54.3614,OUT049,Medium,Tier 1,Supermarket Type1,14,Low,13.215226245093,FD
DRI,8.26,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,Medium,Tier 3,Supermarket Type3,28,Medium,20.335441909406,DR
FDU,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,Small,Tier 2,Supermarket Type1,9,Very_High,11.9219208172982,FD
FDN,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,High,Tier 3,Supermarket Type1,26,Very_High,15.0478330816782,FD
FDW,8.315,Regular,0.035399923,Baking Goods,144.5444,OUT027,Medium,Tier 3,Supermarket Type3,28,High,28.1162272630417,FD
NCB,14.6,None,0.025698134,Household,196.5084,OUT035,Small,Tier 2,Supermarket Type1,9,High,8.07735038298617,NC
FDC,15.5,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,Small,Tier 1,Grocery Store,28,Medium,1.99071441438597,FD
FDR,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,Small,Tier 1,Supermarket Type1,16,High,24.7121578465771,FD
NCD,13,None,0.099887103,Household,45.906,OUT017,Small,Tier 2,Supermarket Type1,6,Low,18.2744739249771,NC
FDV,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,Small,Tier 2,Supermarket Type1,9,Low,25.1772580309705,FD
DRJ,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,High,Tier 3,Supermarket Type1,26,Low,7.89774110091931,DR
FDE,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,Small,Tier 3,Grocery Store,15,Low,3.92089407276866,FD
FDC,14.5,Regular,0.072221801,Canned,43.6454,OUT019,Small,Tier 1,Grocery Store,28,Low,2.88314919785361,FD
FDV,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,Small,Tier 3,Grocery Store,15,Low,2.93547878327323,FD
NCS,18.6,None,0.080829372,Health and Hygiene,96.4436,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,28.428681633618,NC
FDP,18.7,Low Fat,0.089005769,Snack Foods,256.6672,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,11.9532468503962,FD
